team_id,team_name,school_name,city_state,region,section,competition_level,gender_division,team_page_url,wins,losses,games_scraped
KOeGnLSyyUX8rSnZFm6KyOCBlm+/jhhd8VA3R52v7I8=,Hazard,,"Pittsburgh, Pennsylvania",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=KOeGnLSyyUX8rSnZFm6KyOCBlm%2b%2fjhhd8VA3R52v7I8%3d,2,4,6
lmXbVe3zyll7Rmw7Mq8n8DOUWge1TiGy96WrEanHPCw=,Heartbreak,,"Spokane, Washington",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=lmXbVe3zyll7Rmw7Mq8n8DOUWge1TiGy96WrEanHPCw%3d,2,4,6
0w/H4qjuHHpnEuaN35fdJOHvWNXA7IeLHApgNS4Utm4=,Hex Panthers-C,,"Chattanooga, Tennessee",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=0w%2fH4qjuHHpnEuaN35fdJOHvWNXA7IeLHApgNS4Utm4%3d,0,0,0
gFzogvgdrCcU66qIE4Vr730o5T1spAv2W4R2wqeyuq4=,Hydra,,"Winston-Salem, North Carolina",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=gFzogvgdrCcU66qIE4Vr730o5T1spAv2W4R2wqeyuq4%3d,0,0,0
XvFih4NzILOcDjQuvjE9sqPRo8U62SEuplnMVnnwEu8=,I-69,,"Indianapolis, Indiana",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=XvFih4NzILOcDjQuvjE9sqPRo8U62SEuplnMVnnwEu8%3d,0,0,0
0Ib3iAf9aNG0vbNUp9pTVeY5uwW/Qpf6/MjgsYyp6uc=,Iditarod,,"Boston, Massachusetts",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=0Ib3iAf9aNG0vbNUp9pTVeY5uwW%2fQpf6%2fMjgsYyp6uc%3d,0,0,0
tzqICwftgN6sbnH3F3Yj1qno752Ha+7l1Ux/2LrpldY=,Inferno Ultimate,,"Verona, New Jersey",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=tzqICwftgN6sbnH3F3Yj1qno752Ha%2b7l1Ux%2f2LrpldY%3d,0,0,0
CwSYu5Yx63rttFw0gVd4l1qFBH0YH+PYg8RsAggSS9c=,ISO Atmo,,"Boulder, Colorado",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=CwSYu5Yx63rttFw0gVd4l1qFBH0YH%2bPYg8RsAggSS9c%3d,4,2,6
l1opijUNEdmgQrlLnAX9bkbvlNVooeFFK8D2rggRFAs=,John Doe,,"Washington, District of Columbia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=l1opijUNEdmgQrlLnAX9bkbvlNVooeFFK8D2rggRFAs%3d,3,3,6
XcJXnNH562fHIGUT9JwYnfPXy2ooyncLZAu7FBEQCjk=,Johnny Bravo,,"Colorado, Colorado",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=XcJXnNH562fHIGUT9JwYnfPXy2ooyncLZAu7FBEQCjk%3d,0,0,0
xGdFa0VcL/oGowy1yzBucVqyXaq9+y21YODJDHB1z7k=,Journeymen,,"Sunnyvale, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=xGdFa0VcL%2foGowy1yzBucVqyXaq9%2by21YODJDHB1z7k%3d,1,4,5
